2020-08-04 19:20:37.087 [main] INFO  com.example.DuduMeetingAdminApplication - Starting DuduMeetingAdminApplication on LAPTOPCT-4FTFO075 with PID 20012 (E:\IdeaProjects\weixin-dudu-metting\dudu-metting-ct\dudu-meeting-admin\target\classes started by 20252 in E:\IdeaProjects\weixin-dudu-metting)
2020-08-04 19:20:37.092 [main] INFO  com.example.DuduMeetingAdminApplication - No active profile set, falling back to default profiles: default
2020-08-04 19:20:37.894 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8843 (http)
2020-08-04 19:20:37.904 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8843"]
2020-08-04 19:20:37.904 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-08-04 19:20:37.905 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-08-04 19:20:37.993 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-08-04 19:20:37.994 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 848 ms
2020-08-04 19:20:38.114 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-04 19:20:38.237 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8843"]
2020-08-04 19:20:38.261 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8843 (http) with context path ''
2020-08-04 19:20:38.273 [main] INFO  com.example.DuduMeetingAdminApplication - Started DuduMeetingAdminApplication in 2.07 seconds (JVM running for 6.031)
2020-08-04 20:15:19.148 [main] INFO  com.example.DuduMeetingWeixinApplication - Starting DuduMeetingWeixinApplication on LAPTOPCT-4FTFO075 with PID 21408 (E:\IdeaProjects\weixin-dudu-metting\dudu-metting-ct\dudu-meeting-weixin\target\classes started by 20252 in E:\IdeaProjects\weixin-dudu-metting)
2020-08-04 20:15:19.152 [main] INFO  com.example.DuduMeetingWeixinApplication - No active profile set, falling back to default profiles: default
2020-08-04 20:15:20.533 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-08-04 20:15:20.542 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-08-04 20:15:20.543 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-08-04 20:15:20.543 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-08-04 20:15:20.664 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-08-04 20:15:20.664 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1358 ms
2020-08-04 20:15:20.820 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-04 20:15:20.955 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-08-04 20:15:20.980 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-08-04 20:15:20.990 [main] INFO  com.example.DuduMeetingWeixinApplication - Started DuduMeetingWeixinApplication in 2.883 seconds (JVM running for 5.628)
2020-08-04 20:15:34.731 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-08-04 20:15:34.732 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-08-04 20:15:34.736 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
